Field=#~Integer~#~50|Field=Comment~String~Comment~99|Field=Description~String~Description~99|Field=Designator~String~Designator~99|Field=Footprint~String~Footprint~99|Field=LibRef~String~LibRef~99|Field=Quantity~Integer~Quantity~99|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~GatorSynth_Step_Sequencer.PrjPcb|ReportField=ProjectFullPath~C:\Users\Kyle\gatorsynth_sequencer\Altium\GatorSynth_Step_Sequencer\GatorSynth_Step_Sequencer.PrjPcb|ReportField=Title~Bill of Materials For Project [GatorSynth_Step_Sequencer.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~265|ReportField=ReportTime~12:31:01 AM|ReportField=ReportDate~11/1/2017|ReportField=ReportDateTime~11/1/2017 12:31:01 AM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~11/1/2017|ReportField=CurrentTime~12:28:59 AM|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\Kyle\gatorsynth_sequencer\Altium\GatorSynth_Step_Sequencer\Top_Level.SchDoc|ReportField=DocumentName~Top_Level.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~11/1/2017|ReportField=Organization~|ReportField=ProjectName~GatorSynth_Step_Sequencer.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~GatorSynth_Step_Sequencer.PrjPcb|ReportField=DataSourceFullPath~C:\Users\Kyle\gatorsynth_sequencer\Altium\GatorSynth_Step_Sequencer\GatorSynth_Step_Sequencer.PrjPcb
1|CRCW040233K2FKED|Imported|?|0402|CRCW040233K2FKED|1
2||Capacitor|C1, C5, C6, C7, C8, C9, C10, C11, C12, C13, C14|C0805|Cap|11
3|A_LPF|Capacitor|C1_AuxEncoders1, C1_AuxEncoders2, C1_AuxEncoders3, C1_AuxEncoders4, C1_AuxEncoders5, C1_AuxEncoders6, C1_AuxEncoders7, C1_NoteEncoders8, C1_NoteEncoders9, C1_NoteEncoders10, C1_NoteEncoders11, C1_NoteEncoders12, C1_NoteEncoders13, C1_NoteEncoders14, C1_NoteEncoders15, C1_NoteEncoders16, C1_NoteEncoders17, C1_NoteEncoders18, C1_NoteEncoders19, C1_NoteEncoders20, C1_NoteEncoders21, C1_NoteEncoders22, C1_NoteEncoders23|C0805|Cap|23
4|B_LPF|Capacitor|C2_AuxEncoders1, C2_AuxEncoders2, C2_AuxEncoders3, C2_AuxEncoders4, C2_AuxEncoders5, C2_AuxEncoders6, C2_AuxEncoders7, C2_NoteEncoders8, C2_NoteEncoders9, C2_NoteEncoders10, C2_NoteEncoders11, C2_NoteEncoders12, C2_NoteEncoders13, C2_NoteEncoders14, C2_NoteEncoders15, C2_NoteEncoders16, C2_NoteEncoders17, C2_NoteEncoders18, C2_NoteEncoders19, C2_NoteEncoders20, C2_NoteEncoders21, C2_NoteEncoders22, C2_NoteEncoders23|C0805|Cap|23
5||Polarized Capacitor (Axial)|C15, C17, C19, C21|RAD-0.2|Cap Pol2|4
6|Cap|Capacitor|C16, C18, C20, C22, C23_Expanders1, C23_Expanders2|RAD-0.1|Cap|6
7|Cap|Capacitor|C24_CV_Control1, C24_CV_Control2, C25_CV_Control1, C25_CV_Control2|RAD-0.3|Cap|4
8|CAP-NONPOL|Ceramic capacitor, SMD 0402, NP0, 50V, +/-5%|C321, C322|AP1-00001|A01-0019|2
9|08053C104KAT2A|Imported|C?|0805|08053C104KAT2A|1
10|C3216X5R1E476M16|Imported|C?|1206|C3216X5R1E476M16|1
