Net Status Report
Filename     : C:\Users\Kyle\gatorsynth_sequencer\Altium\Top Board\GatorSynth_Step_Sequencer\Gatorsynth_Sequencer.PcbDoc
Date         : 11/6/2017
Time         : 2:31:26 PM
Time Elapsed : 00:00:00

Nets, Layer, Length
    -12V, Signal Layers Only, 0mm
    1.27V, Signal Layers Only, 0mm
    12V, Signal Layers Only, 401.1212mm
    3.3V, Signal Layers Only, 1405.223mm
    5V, Signal Layers Only, 0mm
    AE_L0, Signal Layers Only, 40.5292mm
    AE_L1, Signal Layers Only, 21.5062mm
    AE_L2, Signal Layers Only, 18.1076mm
    AE_L3, Signal Layers Only, 34.0627mm
    AE_L4, Signal Layers Only, 33.7627mm
    AE_L5, Signal Layers Only, 15.6934mm
    AE_L6, Signal Layers Only, 16.823mm
    AE_L7, Signal Layers Only, 35.3296mm
    AE_R0, Signal Layers Only, 48.5955mm
    AE_R1, Signal Layers Only, 28.7311mm
    AE_R2, Signal Layers Only, 13.772mm
    AE_R3, Signal Layers Only, 20.5629mm
    AE_R4, Signal Layers Only, 22.7746mm
    AE_R5, Signal Layers Only, 15.3876mm
    AE_R6, Signal Layers Only, 33.0166mm
    AE_R7, Signal Layers Only, 51.4002mm
    AE_SW0, Signal Layers Only, 46.6154mm
    AE_SW1, Signal Layers Only, 36.5353mm
    AE_SW2, Signal Layers Only, 53.6757mm
    AE_SW3, Signal Layers Only, 70.7762mm
    AE_SW4, Signal Layers Only, 89.3346mm
    AE_SW5, Signal Layers Only, 117.1598mm
    AE_SW6, Signal Layers Only, 141.5087mm
    AE_SW7, Signal Layers Only, 164.5745mm
    BLU1, Signal Layers Only, 19.3413mm
    BLU10, Signal Layers Only, 20.9713mm
    BLU11, Signal Layers Only, 15.6229mm
    BLU12, Signal Layers Only, 20.9713mm
    BLU13, Signal Layers Only, 15.6229mm
    BLU14, Signal Layers Only, 20.9713mm
    BLU15, Signal Layers Only, 15.6229mm
    BLU16, Signal Layers Only, 20.9713mm
    BLU2, Signal Layers Only, 22.8782mm
    BLU3, Signal Layers Only, 19.3413mm
    BLU4, Signal Layers Only, 22.8782mm
    BLU5, Signal Layers Only, 19.3413mm
    BLU6, Signal Layers Only, 22.8782mm
    BLU7, Signal Layers Only, 19.3413mm
    BLU8, Signal Layers Only, 22.8782mm
